old_entrez_gene_id	new_entrez_gene_id	date
8247	7317	20050510
8252	22	20050217
8253	4841	20050510
8254	5631	20070905
8256	6658	20050520
8257	331	20050217
8261	5956	20060606
8262	2316	20101117
8264	6134	20050510
8265	2157	20050510
8267	3054	20050510
8271	4100	20050510
8272	2316	20050510
8274	4204	20050510
8275	393	20050510
8276	55558	20050510
8278	438	20050510
8279	4267	20050510
8280	8227	20050510
8281	3563	20050510
8282	1438	20050510
8283	293	20050510
8285	5940	20050510
8286	5940	20050510
8296	266790	20060606
8298	19	20050502
8307	2747	20050509
8308	51	20050510
8311	2020	20060606
8316	8386	20100622
8319	8318	20050510
8371	19	20050510
8374	3434	20050509
8375	3433	20050510
8376	3437	20050510
8380	6787	20050510
8381	341676	20050510
8385	653166	20100717
8393	9596	20050510
8397	391013	20050510
8413	2317	20050510
8414	346007	20081119
8421	9033	20050502
8423	10120	20050508
8426	9218	20050502
8430	7073	20050504
8432	6335	20050510
8441	9242	20050510
8457	391257	20080817
8461	8626	20080817
8465	6790	20060307
8485	9497	20050510
8494	140913	20051015
8523	11001	20050509
8524	160851	20050510
8561	6569	20050509
8571	9156	20050510
8579	144124	20050502
8584	219445	20050510
8589	26668	20050509
8592	338674	20050504
8593	8594	20050510
8597	120776	20050217
8598	8384	20050502
8599	8384	20050510
8610	6692	20050504
8619	5394	20050510
8627	23581	20050510
8640	26025	20050510
8652	5495	20050510
8656	3756	20050510
8657	8999	20050510
8670	1770	20050510
8679	201625	20090123
8680	374462	20061102
8684	5016	20050510
8695	8554	20050510
8696	3547	20050510
8699	64976	20050502
8709	1770	20050502
8716	8671	20050510
8719	8701	20050510
8730	23136	20050510
8734	64319	20050510
8757	255926	20050510
8765	8766	20050510
8768	2494	20050503
8810	6761	20050510
8845	10312	20050510
8849	1521	20050510
8855	51343	20050502
8860	8626	20050510
8865	9031	20050510
8873	151449	20050502
8885	10239	20050510
8889	7458	20050510
8901	57699	20050503
8902	131034	20050504
8903	221184	20050505
8919	388254	20051113
8920	100289574	20051113
8921	283755	20080722
8922	400322	20051113
8923	8917	20100804
8931	53615	20050509
8937	6767	20050510
8967	126961	20050217
8990	112464	20050502
9004	4071	20050510
9017	6199	20050510
9029	321	20050510
9035	3755	20050504
9036	3754	20050505
9041	9172	20050510
9042	29127	20050510
9065	10942	20050510
9067	51378	20050502
9078	9050	20050510
9089	9530	20050510
9090	11168	20050510
9102	1841	20050510
9105	8404	20050510
9106	5062	20050510
9109	9098	20050510
9115	4606	20050510
9116	4604	20050510
9137	5612	20050510
9142	84631	20180403
9151	1175	20141126
9155	1117	20050510
9160	6992	20050502
9161	1175	20050503
9164	2906	20050509
9165	9167	20050510
9171	11185	20050510
9174	4104	20050502
9176	10999	20050503
9178	86	20050510
9186	10049	20141126
